G,Debut,Fin,Taux+ prime,Taux \'{e}pargne,Taux pr\^{e}t
1,01/07/85,15/05/86,7.5\%,4.75\%,6.45\%
2,16/05/86,06/02/94,6\%,4.62\%,6.32\%
3,07/02/94,22/01/97,5.25\%,3.84\%,5.54\%
4,23/01/97,08/06/98,4.25\%,3.1\%,4.8\%
5,09/06/98,25/07/99,4\%,2.9\%,4.6\%
6,26/07/99,30/06/00,3.6\%,2.61\%,4.31\%
7,01/07/00,31/07/03,4.5\%,3.27\%,4.97\%
8,01/08/03,31/01/15,\footnotemark[1],2.5\%,4.2\%
9,01/02/15,31/01/16,\footnotemark[1] ,2\%,3.2\%
10,01/02/16,31/07/16,\footnotemark[1] ,1.5\%,2.7\%
11,01/08/16,31/12/17,\footnotemark[1] ,1\%,2.2\%
12,01/01/18,…,\footnotemark[2] ,1\%,2.2\%